long_cid_ori,lat_cid_ori,nome_procedimento,SP_CIDADE_P_EXT,cidade_origem,cidade_do_procedimento,procedimento,total_ocorrencias
-51.2065,-30.0318,IMPLANTAÇÃO DE CATETER DE LONGA PERMANÊNCIA SEMI OU TOTALMENTE IMPLANTAVEL (PROCEDIMENTO PRINCIPAL),Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,406020078,133062
-51.0064,-29.6349,CORRECAO ENDOVASCULAR DE ANEURISMA / DISSECCAO DA AORTA TORACICA C/ ENDOPROTESE RETA OU CONICA,Cidade do RS,SAPIRANGA,PORTO ALEGRE,406040176,4817
-51.1857,-29.9128,TRATAMENTO DE DISTURBIOS METABOLICOS,Cidade do RS,CANOAS,PORTO ALEGRE,303030046,29553
-51.088,-31.2843,TRATAMENTO DE POLIRRADICULONEURITE DESMIELINIZANTE AGUDA,Cidade do RS,TAVARES,PORTO ALEGRE,303040270,245
-51.2065,-30.0318,TRATAMENTO DE OUTRAS DOENÇAS BACTERIANAS,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,303010037,133062
-51.2065,-30.0318,TRATAMENTO DE OUTRAS DOENCAS DO APARELHO URINARIO,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,303150050,133062
-51.2065,-30.0318,TRATAMENTO CLÍNICO DE PACIENTE ONCOLÓGICO,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,304100021,133062
-51.2065,-30.0318,TRATAMENTO DAS DOENCAS CRONICAS DAS VIAS AEREAS INFERIORES,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,303140046,133062
-51.2065,-30.0318,TRATAMENTO DE INSUFICIENCIA CARDIACA,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,303060212,133062
-51.2065,-30.0318,TRATAMENTO DE ANEMIA APLASTICA E OUTRAS ANEMIAS,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,303020032,133062
-51.2065,-30.0318,TRATAMENTO DE INTERCORRENCIA POS-TRANSPLANTE DE ORGAOS / CELULAS-TRONCO HEMATOPOETICAS,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,506020045,133062
-51.2065,-30.0318,TRATAMENTO DA PIELONEFRITE,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,305020013,133062
-51.2065,-30.0318,TRATAMENTO DE DOENCAS DO FIGADO,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,303070072,133062
-51.1857,-29.9128,TRATAMENTO DE OUTRAS DOENCAS DO INTESTINO,Cidade do RS,CANOAS,PORTO ALEGRE,303070110,29553
-51.2065,-30.0318,TRATAMENTO DE OUTRAS AFECCOES DA PELE E DO TECIDO SUBCUTANEO,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,303080094,133062
-51.1841,-29.852,TRATAMENTO DE INTERCORRENCIA POS-TRANSPLANTE DE ORGAOS / CELULAS-TRONCO HEMATOPOETICAS,Cidade do RS,ESTEIO,PORTO ALEGRE,506020045,8852
-51.0809,-29.9914,TRATAMENTO CONSERVADOR DA DOR REBELDE DE ORIGEM CENTRAL OU NEOPLASICA,Cidade do RS,ALVORADA,PORTO ALEGRE,303040068,18298
-51.0194,-30.0819,TRATAMENTO CONSERVADOR DA DOR REBELDE DE ORIGEM CENTRAL OU NEOPLASICA,Cidade do RS,VIAMÃO,PORTO ALEGRE,303040068,18550
-51.2065,-30.0318,TRATAMENTO DE TRANSTORNOS DAS VIAS BILIARES E PANCREAS,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,303070129,133062
-51.2065,-30.0318,TRATAMENTO DE DISTURBIOS METABOLICOS,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,303030046,133062
-51.8043,-30.8489,TRATAMENTO DE OUTRAS DOENCAS DO APARELHO URINARIO,Cidade do RS,CAMAQUÃ,PORTO ALEGRE,303150050,4371
-51.2065,-30.0318,TRATAMENTO DE PNEUMONIAS OU INFLUENZA (GRIPE),Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,303140151,133062
-51.0064,-29.6349,TRATAMENTO DA PIELONEFRITE,Cidade do RS,SAPIRANGA,PORTO ALEGRE,305020013,4817
-51.2065,-30.0318,TRATAMENTO DE CRISES EPILETICAS NAO CONTROLADAS,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,303040165,133062
-51.2065,-30.0318,TRATAMENTO DE DOENCAS DO ESOFAGO ESTOMAGO E DUODENO,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,303070064,133062
-51.1857,-29.9128,TRATAMENTO DE OUTRAS DOENÇAS BACTERIANAS,Cidade do RS,CANOAS,PORTO ALEGRE,303010037,29553
-51.2065,-30.0318,TRATAMENTO DE ANEURISMA DA AORTA,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,303060018,133062
-51.2065,-30.0318,TRATAMENTO DE ESTAFILOCOCCIAS,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,303080060,133062
-51.2065,-30.0318,TRATAMENTO DE INTERCORRENCIA EM PACIENTE RENAL CRONICO SOB TRATAMENTO DIALITICO ( POR DIA),Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,305010174,133062
-51.2065,-30.0318,TRATAMENTO DE OUTRAS DOENCAS DO APARELHO DIGESTIVO,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,303070102,133062
-51.0194,-30.0819,TRATAMENTO DE INSUFICIENCIA RENAL CRONICA,Cidade do RS,VIAMÃO,PORTO ALEGRE,305020056,18550
-51.0064,-29.6349,TRATAMENTO DE INTERCORRENCIA POS-TRANSPLANTE DE ORGAOS / CELULAS-TRONCO HEMATOPOETICAS,Cidade do RS,SAPIRANGA,PORTO ALEGRE,506020045,4817
-51.2065,-30.0318,TRATAMENTO DE INTERCORRÊNCIAS CLÍNICAS DE PACIENTE ONCOLÓGICO,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,304100013,133062
-51.3233,-30.1086,TRATAMENTO DE DOENCAS DO FIGADO,Cidade do RS,GUAÍBA,PORTO ALEGRE,303070072,6982
-51.2065,-30.0318,TRATAMENTO DE INFECÇÕES DE TRANSMISSÃO PREDOMINANTEMENTE SEXUAL,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,303010126,133062
-51.6187,-30.0847,TRATAMENTO DE INTERCORRÊNCIAS CLÍNICAS DE PACIENTE ONCOLÓGICO,Cidade do RS,ELDORADO DO SUL,PORTO ALEGRE,304100013,2825
-51.2065,-30.0318,TRATAMENTO DE DOENÇAS INFECCIOSAS E INTESTINAIS,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,303010061,133062
-51.2837,-29.8525,TRATAMENTO DA FIBROSE CISTICA COM MANIFESTACOES PULMONARES,Cidade do RS,NOVA SANTA RITA,PORTO ALEGRE,303140020,2312
-51.0809,-29.9914,TRATAMENTO DE TUBERCULOSE,Cidade do RS,ALVORADA,PORTO ALEGRE,303010215,18298
-51.0811,-29.5379,TRATAMENTO DE INTERCORRÊNCIAS CLÍNICAS DE PACIENTE ONCOLÓGICO,Cidade do RS,MORRO REUTER,PORTO ALEGRE,304100013,395
-51.2065,-30.0318,INTERNAÇÃO P/ QUIMIOTERAPIA DE LEUCEMIAS AGUDAS / CRÔNICAS AGUDIZADAS,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,304080039,133062
-51.0898,-29.5836,INTERNAÇÃO P/ QUIMIOTERAPIA DE LEUCEMIAS AGUDAS / CRÔNICAS AGUDIZADAS,Cidade do RS,DOIS IRMÃOS,PORTO ALEGRE,304080039,1635
-51.2065,-30.0318,TRATAMENTO DE ANEMIA HEMOLITICA,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,303020040,133062
-51.2065,-30.0318,TRATAMENTO DE INTOXICACAO OU ENVENENAMENTO POR EXPOSICAO A MEDICAMENTO E SUBSTANCIAS DE USO NAO MEDICINAL,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,308020030,133062
-51.1857,-29.9128,TRATAMENTO DE ENTERITES E COLITES NAO INFECCIOSAS,Cidade do RS,CANOAS,PORTO ALEGRE,303070099,29553
-51.2065,-30.0318,TRATAMENTO DE TRANSTORNOS RESPIRATORIOS E CARDIOVASCULARES ESPECIFICOS DO PERIODO NEONATAL,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,303160063,133062
-51.145,-29.8276,TRATAMENTO DE OUTRAS DOENCAS DO APARELHO DIGESTIVO,Cidade do RS,SAPUCAIA DO SUL,PORTO ALEGRE,303070102,7575
-51.2065,-30.0318,TRATAMENTO DE OUTRAS INFECCOES AGUDAS DAS VIAS AEREAS INFERIORES,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,303140143,133062
-51.2065,-30.0318,TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,303140135,133062
